OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,pop,white,black,asian,other,hispanic
1,NPU C,C04,2672,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",2672,96.3,0.9,1,0.5,1.3
2,NPU B,B10,3736,"Peachtree Heights East, Peachtree Hills",3736,86.6,5.9,2,1.8,3.7
3,NPU B,B01,4874,Peachtree Heights West,4874,77,14.5,2.9,2,3.6
4,NPU B,B02,3372,"Buckhead Forest, South Tuxedo Park",3372,77.5,9,3.5,2,8.1
5,NPU A,A03,3423,"Chastain Park, Tuxedo Park",3423,93.8,0.7,2.6,1.1,1.8
6,NPU B,B03,2092,East Chastain Park,2092,85,6.5,4,1.8,2.7
7,NPU B,B09,3584,Garden Hills,3584,71.4,6.1,4.4,2.6,15.5
8,NPU B,B11,4604,Lindbergh/Morosgo,4604,34.4,24.9,9.5,2.3,28.8
9,NPU B,B07,2920,"Buckhead Village, Peachtree Park",2920,77.4,11.1,3.1,2.3,6.2
10,NPU L,L01,2818,Vine City,2818,2.2,92.7,0.3,2.2,2.6
11,NPU E,E02,7232,"Georgia Tech, Marietta Street Artery",7232,60.4,8.9,22.5,3.5,4.7
12,NPU M,M01,14560,"Castleberry Hill, Downtown",14560,32.2,53.4,6.8,2.8,4.8
13,NPU E,E07,16218,Midtown,16218,68.2,15.9,7.5,3.1,5.4
14,NPU E,E06,4706,Home Park,4706,45.5,17.1,28.9,3.8,4.7
15,NPU I,I01,2881,"Beecher Hills, Florida Heights, Westwood Terrace",2881,1.3,95.3,0.1,1.5,1.8
16,NPU S,S02,4084,"Fort McPherson, Venetian Hills",4084,7.1,89.5,0.4,1.6,1.3
17,NPU X,X04,4632,Sylvan Hills,4632,10,85.4,0.5,1.6,2.5
18,NPU X,X01,2648,"Capitol View, Capitol View Manor",2648,12.8,82.6,0.4,1.8,2.4
19,NPU S,S01,3672,"Bush Mountain, Oakland City",3672,1.7,95.8,0.2,1.1,1.1
20,NPU T,T03,3138,Westview,3138,3.4,93.3,0.2,1.8,1.3
21,NPU T,T04,4341,West End,4341,3.9,90.4,0.9,2.4,2.4
22,NPU T,T01,2072,"Ashview Heights, Harris Chiles, Just Us",2072,1.6,95.5,0,1.6,1.3
