weave_coa_nsa,NSA,NEIGHBORHOOD,Total households,"Household income less than $35,000","Household income $35,000 to $74,999","Household income $75,000 to $200,000","Household income $200,000 or more",Median household income,Per capita Income
"Margaret Mitchell, Paces, Pleasant Hill",A01,"Margaret Mitchell, Paces, Pleasant Hill",1891,131,368,677,715,135492,88925
"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",A02,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",1668,152,249,454,813,193438,128305
"Chastain Park, Tuxedo Park",A03,"Chastain Park, Tuxedo Park",1071,97,103,364,507,190625,110573
Peachtree Heights West,B01,Peachtree Heights West,2462,998,479,619,367,49292,70078
"Buckhead Forest, South Tuxedo Park",B02,"Buckhead Forest, South Tuxedo Park",1651,319,359,604,369,98047,80768
East Chastain Park,B03,East Chastain Park,1018,139,260,478,140,89244,70266
North Buckhead,B04,North Buckhead,3972,751,766,1399,1056,107979,83688
Brookhaven,B05,Brookhaven,921,99,86,385,351,155450,109631
"Buckhead Heights, Lenox, Ridgedale Park",B06,"Buckhead Heights, Lenox, Ridgedale Park",2008,551,383,737,337,81863,84092
"Buckhead Village, Peachtree Park",B07,"Buckhead Village, Peachtree Park",1471,531,364,424,151,57426,57217
Pine Hills,B08,Pine Hills,4396,907,1416,1670,403,72106,51885
Garden Hills,B09,Garden Hills,1508,347,441,394,327,71021,55576
"Peachtree Heights East, Peachtree Hills",B10,"Peachtree Heights East, Peachtree Hills",1969,353,416,930,269,88669,62361
Lindbergh/Morosgo,B11,Lindbergh/Morosgo,2984,926,1271,770,17,53503,32945
"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",C01,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",1253,215,310,449,280,85907,58246
Cross Creek,C02,Cross Creek,1336,377,571,341,47,54174,34040
"Brandon, Castlewood, Westminster/Milmar, Woodfield",C03,"Brandon, Castlewood, Westminster/Milmar, Woodfield",1399,379,171,482,367,110646,80070
"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",C04,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",1078,139,79,430,430,147526,117391
"Collier Hills, Collier Hills North, Colonial Homes",C05,"Collier Hills, Collier Hills North, Colonial Homes",1456,499,342,453,162,58813,48258
"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",C06,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",1391,189,253,550,399,125221,55886
"Bolton, Riverside, Whittier Mill Village",D01,"Bolton, Riverside, Whittier Mill Village",2219,603,489,899,228,76769,39921
Underwood Hills,D02,Underwood Hills,1481,400,447,490,144,63260,47951
"Berkeley Park, Blandtown, Hills Park",D03,"Berkeley Park, Blandtown, Hills Park",1646,474,447,570,155,64278,48029
"Ansley Park, Sherwood Forest",E01,"Ansley Park, Sherwood Forest",1766,218,361,699,487,122522,93841
"Georgia Tech, Marietta Street Artery",E02,"Georgia Tech, Marietta Street Artery",760,350,225,164,22,41324,7101
"Ardmore, Brookwood",E03,"Ardmore, Brookwood",1771,289,661,660,161,70631,55427
"Atlantic Station, Loring Heights",E04,"Atlantic Station, Loring Heights",1811,732,593,364,122,42898,31222
Brookwood Hills,E05,Brookwood Hills,1982,620,565,526,271,56870,78202
Home Park,E06,Home Park,1576,659,517,314,86,42133,22077
Midtown,E07,Midtown,10290,2672,3381,3326,911,64324,63043
Piedmont Heights,F01,Piedmont Heights,1564,489,517,492,67,56615,50522
Lindridge/Martin Manor,F02,Lindridge/Martin Manor,1717,695,572,385,65,46805,33031
"Atkins Park, Virginia Highland",F03,"Atkins Park, Virginia Highland",4397,1187,1063,1368,779,73055,68740
Morningside/Lenox Park,F04,Morningside/Lenox Park,3827,581,726,1461,1059,113073,73030
"Atlanta Industrial Park, Bolton Hills, Brookview Heights, Chattahoochee, English Park, Lincoln Homes, Monroe Heights",G01,"Atlanta Industrial Park, Bolton Hills, Brookview Heights, Chattahoochee, English Park, Lincoln Homes, Monroe Heights",974,567,343,64,0,25490,12871
"Almond Park, Carey Park",G02,"Almond Park, Carey Park",852,694,109,49,0,17468,8171
"Carver Hills, Rockdale, Scotts Crossing, West Highlands",G03,"Carver Hills, Rockdale, Scotts Crossing, West Highlands",1536,1004,366,129,37,19075,16803
"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon",H01,"Bankhead Courts, Bankhead/Bolton, Carroll Heights, Fairburn Heights, Old Gordon",1149,775,295,79,0,19362,11680
"Adamsville, Oakcliff",H02,"Adamsville, Oakcliff",785,552,184,49,0,18306,10959
"Fairburn Mays, Mays",H03,"Fairburn Mays, Mays",1708,1029,536,135,7,26857,13626
