weave_coa_nsa,NSA,NEIGHBORHOOD,"Population, 2010","Population, 2000",Square Miles,"Population Density (per sq mile), 2010"
"Margaret Mitchell, Paces, Pleasant Hill",A01,"Margaret Mitchell, Paces, Pleasant Hill",4061,4151,4.2,959
"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",A02,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4207,4082,4.3,985
"Chastain Park, Tuxedo Park",A03,"Chastain Park, Tuxedo Park",3423,3085,2.8,1209
Peachtree Heights West,B01,Peachtree Heights West,4874,4292,0.9,5348
"Buckhead Forest, South Tuxedo Park",B02,"Buckhead Forest, South Tuxedo Park",3372,3041,0.7,4870
East Chastain Park,B03,East Chastain Park,2092,1832,0.5,3824
North Buckhead,B04,North Buckhead,8332,5653,2.7,3124
Brookhaven,B05,Brookhaven,2335,2144,1,2354
"Buckhead Heights, Lenox, Ridgedale Park",B06,"Buckhead Heights, Lenox, Ridgedale Park",3143,2322,0.5,6540
"Buckhead Village, Peachtree Park",B07,"Buckhead Village, Peachtree Park",2920,1918,0.7,4185
Pine Hills,B08,Pine Hills,8300,5026,1.1,7453
Garden Hills,B09,Garden Hills,3584,3221,0.8,4766
"Peachtree Heights East, Peachtree Hills",B10,"Peachtree Heights East, Peachtree Hills",3736,4039,0.7,5222
Lindbergh/Morosgo,B11,Lindbergh/Morosgo,4604,5074,0.6,7842
"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",C01,"Fernleaf, Hanover West, Ridgewood Heights, Wesley Battle, Westover Plantation",2662,2383,1.1,2419
Cross Creek,C02,Cross Creek,2910,2756,0.3,8335
"Brandon, Castlewood, Westminster/Milmar, Woodfield",C03,"Brandon, Castlewood, Westminster/Milmar, Woodfield",3516,2883,1.6,2260
"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",C04,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",2672,2649,1.4,1866
"Collier Hills, Collier Hills North, Colonial Homes",C05,"Collier Hills, Collier Hills North, Colonial Homes",2605,2468,0.7,3677
"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",C06,"Channing Valley, Memorial Park, Springlake, Wildwood (NPU-C)",3757,3105,0.9,4284
"Bolton, Riverside, Whittier Mill Village",D01,"Bolton, Riverside, Whittier Mill Village",5314,4758,2.4,2239
Underwood Hills,D02,Underwood Hills,2287,2257,1.1,2097
